jokecategory_name,count
"Word Play Jokes",3192
"Sex Jokes",2843
"Animal Jokes",2069
"Relationship Jokes",1987
"Profession Jokes",1861
"Funny Thoughts",1458
Riddles,1344
"Yo Momma Jokes",1136
"Religion Jokes",1083
"Blonde Jokes",1054
"Ethnic / Country Jokes",864
"Insult Jokes",825
"Sexist Jokes",803
"Dark Humor Jokes",719
"Jokes about Families",625
"Medical / Afflictions Jokes",585
"Sports Jokes",515
"Bar Jokes",468
"Holiday Jokes",436
"Appearance Jokes",424
"Old Age Jokes",411
"Technology Jokes",394
"Pop Culture / Celebrity Jokes",374
"Political Jokes",353
"Jokes about Kids",349
"Food Jokes",336
"One-Liner Jokes",325
"Money Jokes",307
"Work & Office Jokes",283
"U.S. State Jokes",281
"Art & Music Jokes",244
"Redneck Jokes",244
"Travel Jokes",223
"Alcohol Jokes",211
"Racist Jokes",209
"Military Jokes",200
"Pickup Lines",193
"Disability Jokes",192
"School Jokes",191
"Gross Jokes",188
"Little Johnny / Suzie Jokes",151
"Math & Science Jokes",145
"Ads & Newspapers",142
"Knock-Knock Jokes",139
"Top 10 Lists",120
"Airplane Jokes",96
"Light Bulb Jokes",74
"Weather Jokes",63
"Drug Jokes",61
"Terrorist Jokes",58
"Cross the Road Jokes",56
"Genie Jokes",44
"Shopping Jokes",31
"Telephone Jokes",28
"Funny Nursery Rhymes",18
"Wedding Toasts",10
