a,b,c,d,e,f,g,h,i,j,k,label
18518.5297283,-11835.5636857,4718.14503592,-4929.40085476,-6880.5884167,-1343.89484053,-6353.7827892,-5149.22286623,1585.04142731,17501.7775151,-6241.14467821,lazy_college_senior
-18868.3779572,-11299.8410944,-8299.06515721,16688.6894593,2017.22289057,-3037.55792884,8612.87318405,-8684.25075573,1748.45403023,383.609163023,-1156.10088026,advice_god
-2912.5246823,11726.6916565,168.111636262,-4224.14111942,-2490.64472602,417.836805287,488.965469671,-2211.41308954,200.139623452,-6693.80971649,-8751.38195256,confession_bear
2260.54185086,-12406.362411,1218.083268,-2378.33886162,-5472.99497665,-1598.71608758,-6552.61618274,840.267145615,1057.4153492,4891.50299594,3384.8327934,evil_toddler
-15044.9872458,-2057.71653051,-4781.21182941,-4022.41527744,10309.3810633,4293.92419956,4235.17049414,6765.20440676,-2591.58433168,9087.18367236,878.827574813,college_liberal
-2873.68233782,11147.4920177,-8166.56556276,58.26715504,-5513.58942583,17093.0426296,952.708245799,583.647230619,15618.0963114,-3491.1706718,2740.05752855,business_cat
1563.49730436,-13827.0407634,1098.46343374,-1842.49511706,-5081.4058143,-889.278783785,-8428.33205476,1673.32299115,1151.8405242,6260.16530276,3925.43788519,evil_toddler
34259.247834,1913.39721443,-7133.42803206,6197.69736139,7989.3958208,3253.9772713,-3743.37381034,-988.628448625,1825.17695935,2938.28312827,-2353.49869333,unpopular_opinion_puffin
-18719.9072594,-10941.9645825,-7557.88430016,16258.3352158,1909.64089608,-2150.26200312,8322.76336311,-9526.12440663,2404.02831988,13.3203495809,-1855.56483465,advice_god
-10176.8115512,-4937.03150567,-559.721693927,3186.20532888,-9726.64586847,-4693.26511519,-7266.46135305,-1300.83459966,-3701.97111215,-1770.457495,8895.02963766,religion_pigeon
-17078.919771,-8717.51633911,-1067.17989316,-570.837188423,1520.65358304,1829.35207455,-1791.60717569,3534.69704984,-2357.12809193,582.617935245,1716.39566103,minor_mistake_marvin
17094.3204194,5290.86793423,-7574.4012916,2444.62466385,-3319.05825834,-1545.24235825,-6880.7997809,1843.49483357,1821.21530939,2095.34118992,-2658.24663562,good_guy_greg
30393.3174439,-3799.66121826,-2212.10390969,4518.32185097,9842.27574483,2255.9678303,-1171.18224595,-3268.07023468,-4861.05253614,-4696.92948491,-1110.12997876,bad_joke_eel
586.44316396,13322.8103327,-5689.62310086,-3501.09615819,-5260.68234231,1327.41761333,1145.99178758,-1631.53520329,284.679769688,-1044.62198214,-2957.97561285,good_guy_greg
6412.53050805,20460.2916663,3231.60293048,-76.0336233409,-7997.8611603,198.667357354,3166.5726775,-7447.89912945,-8928.43471741,6954.57283499,2402.7057443,high_expectations_asian_father
-1957.36476626,11863.9836157,21.8616213074,-2047.29843813,-3675.33492514,5236.83424456,4563.38292112,583.651946077,-6064.86053469,2911.18528624,1942.85080528,philosoraptor
-8378.67550865,4108.47757032,1967.24012897,-4907.72513605,-1623.71850301,-679.475120054,-1979.30501323,116.320433943,790.532715088,-1193.91675485,-6740.08505082,confession_bear
-2197.88795614,11403.4043356,-8165.66527177,195.290057367,-5472.32308465,17307.6562816,1367.24018927,1127.91046918,15947.7455533,-4800.8978049,4303.91426053,business_cat
93.2001983987,-14165.7753737,1857.69519176,-2573.13906097,-5167.99238406,-1052.90582337,-6618.39515259,1864.63320117,653.231158382,3564.75655665,3292.54971599,evil_toddler
11028.517027,-17155.8174807,4823.60208693,-2293.67835559,-5865.06671045,-885.18605477,-8172.45170919,-1516.06014158,5241.99593569,6929.14038812,-3782.88376907,lazy_college_senior
-2479.29213591,1964.34945423,-1833.56996351,-1731.6499157,-4030.36732431,-679.631896706,-2283.26037645,-906.513831667,-945.350019301,-1387.97541063,-5873.61914592,overly_attached_girlfriend
-3011.81726739,11149.7496607,-8215.83396014,1643.67471822,-5365.65933978,16290.0744112,-636.215916437,1451.58111696,13371.3027575,-3740.48962236,1699.40597543,business_cat
-20148.1423838,-15057.0476762,2990.70714254,-3272.78045316,-34.4750407623,2749.46951781,-3355.25656252,1586.27823868,-2353.0696625,-2238.95029648,-3319.60818442,first_day_on_the_internet_kid
11680.6743675,-16776.4457282,4024.89734895,-4195.37936631,-4738.52396978,-88.0379000222,-9672.4755942,-2049.04805874,1433.93721534,15786.9488498,-4943.65138773,lazy_college_senior
18487.0508724,-13770.221644,6788.54231356,-8977.22416758,-6656.95441758,-863.551551168,6829.66420957,-3302.38615952,4290.18350631,3316.66324805,-4546.75114775,sudden_clarity_clarence
-2221.69953262,11572.7402555,31904.8933317,14797.020517,1396.00416516,-1338.5910278,-2518.01907871,6195.02867685,4490.44549108,-1424.7900645,2458.37381213,socially_awkward_penguin
-14259.6702506,-4964.791442,-134.189235718,-7631.55025315,5208.85977159,-4613.62240018,-1441.30501932,-302.086797971,11.8526959548,1224.78582145,5302.87608498,sheltered_college_freshman
-3057.83972038,12062.5540856,4808.25199572,-8584.02138873,9252.63880397,-7897.56546246,2927.81935492,679.586475765,3760.20538225,-2334.71123242,-4459.61568621,bad_luck_brian
15824.4151752,642.452310477,-14623.7601479,6721.91752403,-6999.61238154,-16250.454286,2531.57139369,16276.9925886,443.948656804,-1906.323437,263.84899731,paranoid_parrot
-4216.93834096,7287.03203672,28541.04674,13304.3962245,1645.84524376,-1115.02856901,-1189.05197761,4835.91739292,2445.81556835,-464.642608567,975.30572575,socially_awkward_penguin
-13719.6588264,-6037.52035652,-56.2289920261,13.0197706901,-2143.36628179,-3224.78712947,-2764.39253686,-373.989795792,462.141255944,3292.85972842,1254.13035882,overly_attached_girlfriend
-8442.8507844,-11507.8900794,5142.90841125,-7710.31761299,-6414.55409089,-1095.98317865,-2626.60919595,5980.15885508,-5014.35478922,-3292.67331793,3775.70616641,minor_mistake_marvin
-494.451671664,-6671.48171824,-3058.60550885,3237.30313728,-4017.99012879,119.366402499,-5099.67209021,2020.08012297,746.038484346,34.7360082318,872.310417928,evil_toddler
-4479.50496584,8593.96070752,-7046.91249192,1545.74288419,-5538.5944282,15110.3745866,-2354.76928393,1852.88373268,11640.9823376,-2806.79197564,2629.21924118,business_cat
-11335.5129636,1739.66392777,-3348.53657553,-9384.46016229,9289.4289247,-9609.91969842,-7273.69417091,-8284.59853993,4791.95689525,-4009.25226925,10078.5557114,sheltered_college_freshman
2031.32405535,20805.9596621,-131.782939022,-719.235711598,47.3314473033,-907.966565021,2017.00477364,-6118.92640634,-5423.86088306,3417.34170745,-2546.4079683,high_expectations_asian_father
-3793.92601792,11731.0950071,269.811505136,-2822.6133945,-2691.61860489,145.708013348,-2691.08803519,-1222.10860912,-2389.09785743,-4318.08177544,-9438.83445143,confession_bear
-14949.013943,-1186.93290933,-5243.17557841,-3981.87418287,10793.0723139,4761.37751886,4857.55169018,6974.84849125,-1941.28875004,9276.30766442,1041.16624815,college_liberal
-11302.1573307,1560.57392684,-3458.88261436,-9625.93476495,9629.45267966,-9677.01375639,-7998.18085724,-8479.88426964,4315.50141485,-4063.35157103,10643.5959914,sheltered_college_freshman
