a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q
18518.5932557,-11835.3623464,4723.24951566,-4931.77324961,-6884.75776533,-1333.59478983,-6325.98661455,-5131.11889658,1585.01246526,17352.1043984,-6585.27566014,-599.10107605,lazy_college_senior,1868.97635927,-6014.53824582,-2966.5880994,-2587.36856859,5759.69710025
-18868.3725469,-11299.8245299,-8299.23868573,16686.6334326,2012.86250883,-3036.73061375,8609.58311821,-8699.77739194,1736.62983776,348.213712374,-1027.03977979,2847.59505387,advice_god,-625.189391852,-1526.94012356,601.107280654,-711.010541534,1220.68611481
-2912.53666009,11726.7199495,168.096199225,-4224.22178553,-2488.58721238,438.695331397,480.012695497,-2297.91875334,174.444206107,-6797.03047767,-8655.12626086,-4529.78319069,confession_bear,1417.85042842,-7227.56534757,2456.73852988,6233.03911962,-397.994902473
2260.49024237,-12406.458663,1216.19682351,-2373.81318604,-5467.55873546,-1598.08177814,-6572.50849026,792.003530964,1094.81204783,4913.47843301,3568.45971198,3691.20584927,evil_toddler,-2080.45971485,-3938.14745152,-3388.1497656,-973.523359341,-4111.81712314
-15045.0131143,-2057.71754768,-4784.10677049,-4020.4750778,10314.6783926,4289.79695591,4227.535972,6751.13236953,-2549.80828348,9132.26357096,1088.0122254,-4926.60697084,college_liberal,3965.98310921,-217.650440848,2357.60122201,923.079899407,-2273.75774378
-2873.69245409,11147.4592954,-8166.01934248,63.506364539,-5505.69284973,17100.3035113,935.76564952,573.941015006,15609.6981325,-3536.35820339,2615.5693412,-1681.90635858,business_cat,659.459218388,1266.05838432,-4839.35593698,-872.044441787,3604.68880022
1563.45906184,-13827.1533337,1095.46289258,-1837.04311247,-5074.55287882,-886.928762393,-8450.43020419,1664.15176277,1220.43618489,6306.77544395,4092.76977614,3163.48868767,evil_toddler,-2651.20279037,-4518.99192595,-5027.07216119,-1464.88649685,-5531.94733518
34259.1537309,1913.57104612,-7140.07493087,6202.8835627,8002.11251466,3275.86559692,-3847.00892487,-1076.08625801,1804.64188483,2987.3871206,-1954.78077448,3913.32979464,unpopular_opinion_puffin,-2663.16868113,3374.96448379,6807.60449041,1092.4585546,2968.83201613
-18719.8974833,-10941.9552489,-7556.70647704,16256.626806,1906.74972912,-2152.82279615,8316.71867202,-9513.28343824,2413.55294305,18.2407688977,-1940.29508488,3694.96431256,advice_god,-3368.63157368,-332.569007798,872.857917256,-377.927393108,-1408.97092793
-10176.8364726,-4936.9257965,-561.895480872,3185.78468861,-9723.67748138,-4681.97250848,-7300.22289035,-1326.79490027,-3711.95009043,-1728.7582837,9378.11914156,8053.57196835,religion_pigeon,16410.3499711,4976.79168656,-1024.41344329,12335.16994,2554.55756531
-17078.8810549,-8717.50492686,-1063.86013425,-572.743279218,1512.2859448,1819.31819572,-1724.93385449,3561.34093629,-2379.45260753,520.126872052,1419.01043446,-668.531385193,minor_mistake_marvin,-1114.39827615,-797.425613337,-5874.04798669,2342.86303972,-1785.37293247
17094.3329313,5291.23315979,-7575.77120912,2438.14492061,-3323.64464132,-1529.88062509,-6912.52597664,1901.11733756,1808.61239995,2169.04572734,-2924.97423905,-813.036323233,good_guy_greg,-290.519215492,2511.06178549,3462.01033044,-2662.64216204,-3771.57769076
