a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s
18518.5949542,-11835.3681887,4723.34284752,-4929.45851523,-6879.48934644,-1330.38680145,-6334.63300847,-5149.36857386,1507.69522515,17276.0982019,-6489.39994296,-626.437877715,lazy_college_senior,1832.44246147,-5588.47583582,-2911.04650545,-2169.82150174,4441.53903327,-5794.26710741,4066.8647447
-18868.3746774,-11299.8511738,-8299.05730291,16687.2310381,2011.28176264,-3035.16063844,8608.48334185,-8686.10424506,1741.99050558,378.828015007,-1084.99193325,2834.09010933,advice_god,-662.405559985,-1511.47659673,592.222597126,-843.332987202,813.661421652,-975.028623032,1301.87097144
-2912.52847962,11726.7522639,167.703987933,-4223.24047824,-2490.11641345,442.141447398,478.658100335,-2263.2390735,188.464144748,-6736.31122564,-8863.38356986,-4418.57584606,confession_bear,1568.44340389,-7351.21174539,3442.56063638,5610.40677035,-545.046354471,1504.00404428,-105.703527473
2260.49996562,-12406.416399,1216.3102139,-2374.45360364,-5467.75566278,-1597.48679125,-6583.48474279,830.352852317,1083.26479678,4956.30392031,3531.55332688,3616.03749254,evil_toddler,-1967.25640675,-4443.9991387,-3152.13307948,-970.383002895,-3658.86265555,1484.80554845,-2130.91905223
-15045.012441,-2057.72002929,-4784.00068879,-4020.81923979,10315.0502857,4289.40478251,4218.87365373,6769.04355221,-2576.12730239,9134.50889005,982.227703395,-4865.35298033,college_liberal,4200.84387787,-58.097776318,2315.43870933,835.414585703,-2846.65226838,-1076.09059474,-847.791982459
-2873.68861379,11147.5048254,-8165.91178511,64.2325780579,-5505.2481841,17100.7022716,936.706447067,570.941434406,15613.0121249,-3510.90836723,2643.38176679,-1663.85526074,business_cat,721.193061327,1146.81720506,-5102.61474236,-275.170049006,2675.38800174,-2655.49107209,1723.77856818
1563.48088404,-13827.0739715,1095.90458525,-1834.57717951,-5073.80920981,-883.975794187,-8454.27123715,1697.09245885,1178.41815858,6311.17501372,4083.28891299,3094.72834753,evil_toddler,-2471.94281126,-4958.48100425,-4779.61307203,-1268.85931594,-4993.40786665,1057.89995798,-2338.03620822
34259.1362664,1913.45009361,-7140.27900981,6201.27647479,7996.78912073,3276.09831244,-3841.96596062,-1092.3218377,1823.16214804,2986.42718081,-1940.64686874,3880.00985587,unpopular_opinion_puffin,-2841.08747648,3716.8517364,6794.22662988,561.746477032,3740.31690639,506.744867636,1123.01449472
-18719.886742,-10941.8773389,-7556.9716594,16257.9176461,1907.31485752,-2151.70344312,8318.16756456,-9513.59300088,2403.97170336,11.6961352195,-1809.09149168,3608.31327519,advice_god,-3447.32092378,-357.991157957,1006.24829083,-555.413429062,-1749.95809265,-830.218260713,-1097.35497935
-10176.8495498,-4936.99204395,-562.308901391,3183.8803528,-9724.30884399,-4683.24470696,-7272.32115885,-1358.64126853,-3658.45335264,-1706.49424664,9061.79658441,8537.80791976,religion_pigeon,16102.9220751,4729.18307654,-451.959426273,12472.2034343,1055.08326978,-4087.10545066,-2580.39669704
-17078.9223662,-8717.7306646,-1063.9952604,-579.929631557,1509.82411166,1813.97445801,-1723.403314,3517.86134227,-2313.14096423,572.02928577,1293.41557665,-672.782291355,minor_mistake_marvin,-1342.92077907,-1521.39886861,-5384.96303585,2458.77292385,139.878592837,6188.9636572,7299.62446946
17094.3224588,5291.15688565,-7575.91547944,2438.28266497,-3329.34403566,-1527.25423741,-6879.29342377,1857.11434219,1802.61277774,2095.83476787,-2558.98738617,-829.658338206,good_guy_greg,-531.605173286,3174.29127189,3210.6343754,-2754.25088385,-3621.04567001,784.95740982,4011.24205414
30393.3716142,-3799.68285636,-2208.04279792,4519.55941603,9841.2189285,2233.6831393,-1125.14251758,-3200.46650725,-4860.81829554,-4706.89563204,-1250.2955213,-3184.01803342,bad_joke_eel,4568.15857657,-423.831599702,-7101.64173527,979.667872412,-2547.49196783,2972.43400537,-3691.51040685
586.416086867,13322.68735,-5690.11320659,-3505.00638017,-5268.32017753,1314.67870729,1143.27512635,-1620.81236788,305.778341919,-994.303960853,-2635.78840115,7284.91704894,good_guy_greg,7235.25763739,-966.539119584,6266.78417204,-7475.64489192,-3264.01613077,3539.61445655,-1261.89359879
6412.49884935,20460.3028725,3226.85201441,-72.0859938882,-7990.25137983,215.155368907,3126.16094391,-7482.15481995,-8891.94123672,6974.7732566,2477.43957937,-3430.60946657,high_expectations_asian_father,-3508.24386307,5951.81477665,-2824.26829267,-596.392425611,-2120.88306319,2270.20036807,3494.37602906
-1957.35958745,11864.103939,20.8032971494,-2053.4803858,-3684.45362055,5235.09163309,4566.05950162,596.78550526,-6079.85535917,2900.44241651,1979.13332521,-129.35104533,philosoraptor,-1146.72576046,-4165.20881771,-286.154200089,-2588.25547675,7319.03346944,-101.306994374,-5194.28510832
-8378.68860071,4108.38008278,1970.355842,-4904.46126829,-1616.31652249,-682.30202077,-1961.98337854,66.9282210681,822.129968565,-1174.90310693,-7079.62877044,-3183.53242639,confession_bear,-4691.84615892,-4094.06642926,-1491.17319473,6277.27137643,-1313.12873939,-248.040411816,-4672.17355872
-2197.91632445,11403.3355723,-8165.0744915,196.226163654,-5469.99345057,17312.9478472,1353.25419057,1087.98073293,15960.8115794,-4773.24314836,4179.52316881,-658.315979412,business_cat,-119.654084247,1823.02131895,-4821.38515072,-224.432320242,-96.0678102365,-3179.56595394,645.20376835
93.1652901303,-14165.8004329,1854.01075114,-2569.03994342,-5166.97918543,-1046.50560085,-6655.82395894,1874.28271038,677.92991618,3630.4962156,3577.28484979,4887.91812377,evil_toddler,-1839.98256831,-6285.41059385,-3716.14577559,-928.949748132,-3342.53954893,-175.530984179,-1093.0442059
11028.5412501,-17155.8272004,4822.7496428,-2300.55725898,-5871.42699358,-883.550338698,-8157.39005546,-1476.43764149,5247.57647755,6890.92267104,-3773.58961206,3820.84628946,lazy_college_senior,-673.415989055,-6459.04169891,795.473704035,-2.52578817899,1418.41255206,2665.72809185,1338.15002289
-2479.19957882,1964.70633029,-1831.8221784,-1732.58911829,-4041.84902691,-650.199950782,-2279.92087684,-830.362231337,-964.255561985,-1500.11287324,-6126.94749813,-450.16927628,overly_attached_girlfriend,3584.50064044,8872.26252779,4177.31222989,-1324.21485205,6325.77969468,5703.49860459,2474.35789602
-3011.83135276,11149.7629103,-8217.72713564,1646.3907982,-5357.28542663,16293.3361684,-651.242390559,1449.39728304,13371.6962791,-3730.94162762,1742.18999416,-757.309684747,business_cat,267.237609986,1499.68819373,-5575.77309255,-531.865281518,1516.13260922,-591.627959954,-1536.35581658
-20148.1586238,-15057.0749763,2989.60142591,-3271.6541571,-43.7212928895,2742.56704119,-3364.26212268,1607.56996383,-2401.54541997,-2155.30106029,-3121.12068171,-1263.22235248,first_day_on_the_internet_kid,-1122.66875194,5594.15456627,529.143874301,-4602.73229672,3564.96643504,2169.13286214,-3392.37952665
11680.7825052,-16776.2652733,4031.09204935,-4197.99744557,-4748.53525542,-71.2038108598,-9621.6094083,-2013.75701838,1324.22519812,15524.9046422,-5242.00464673,-714.916173997,lazy_college_senior,-1146.67149449,-7012.28458516,-1553.42519099,-853.836987105,4246.85352055,-8263.28557182,7289.24413797
18486.9203223,-13770.4065817,6779.30330187,-8974.11475914,-6665.41333908,-850.324841228,6753.86212695,-3363.22184838,4353.75883734,3446.86707744,-4017.12242762,1759.73822659,sudden_clarity_clarence,-29.2139446688,911.583324519,2480.11092341,-897.953014105,6151.10892501,1341.68530827,-530.728581292
-2221.68598172,11572.7467758,31906.1955709,14795.9725108,1394.62355455,-1344.43769421,-2502.99791044,6220.03874889,4500.24867469,-1429.90468312,2430.67847863,-1162.61921672,socially_awkward_penguin,2412.30664962,44.3658758621,4506.97478334,-935.294972181,-1152.38278771,-1046.92114566,185.627827943
-14259.7039709,-4964.81981736,-134.475228704,-7630.31446764,5218.37826907,-4600.15334709,-1448.8517085,-356.496765904,59.005068735,1277.56802265,5184.68977314,1563.45574149,sheltered_college_freshman,-247.890957722,-3020.80406913,-1747.66622242,-1124.04200399,2719.10835475,2406.99714387,-2990.57904278
-3057.79410478,12062.6232016,4809.37391367,-8589.62523901,9241.01646543,-7898.08349785,2959.81855139,714.843253824,3726.1783968,-2378.66515626,-4386.81364888,10431.7207566,bad_luck_brian,-273.361711984,-656.517499945,-6354.30737998,940.592456768,948.114771329,1158.2366768,855.797532351
