a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t
18518.5979075,-11835.398034,4723.09390785,-4931.37312034,-6883.11035938,-1332.31574736,-6319.51347072,-5166.23239827,1584.53205009,17291.2047912,-6486.56227772,-591.563826966,lazy_college_senior,1588.02752996,-5746.54631921,-2756.04376807,-2486.95559091,4752.02897804,-5929.42110479,2767.94452231,4948.13427784
-18868.3774901,-11299.8293418,-8299.13763072,16686.114017,2012.5222746,-3035.13899349,8611.19258928,-8690.90550382,1738.20093202,373.337551715,-1077.37861568,2844.63801448,advice_god,-637.871706896,-1549.76908209,560.744278623,-704.244584869,896.907080635,-1102.51259787,788.20753439,842.768023687
-2912.53531172,11726.6883614,168.250041904,-4224.82737514,-2491.11661212,440.456655256,476.017735395,-2264.0883189,190.757680814,-6741.78555737,-8823.92738626,-4486.06217586,confession_bear,1497.01149449,-7255.22913812,2473.72407194,6207.57600705,-299.36112012,1380.71155446,-396.633923993,2624.51049084
2260.49590136,-12406.4212975,1216.09997201,-2374.47488125,-5465.82884124,-1600.8283331,-6584.06983719,826.156527869,1088.84058365,4976.47905734,3504.03008233,3676.54709096,evil_toddler,-1908.59887662,-4156.14568821,-3389.75768339,-981.921591209,-3943.67937208,1500.07121759,-1468.00041808,-3996.50704032
-15045.0117712,-2057.73320299,-4784.16666098,-4020.29414126,10314.0594811,4287.23784206,4218.72835521,6773.43359404,-2556.06764715,9150.08771374,998.043443469,-4892.1006268,college_liberal,4070.45612962,-213.803545694,2341.96105396,973.782614588,-2960.52244455,-1141.04236281,-538.771399887,-821.882018007
-2873.69327198,11147.5050593,-8166.08918617,63.1377762973,-5506.01742658,17102.1049697,939.543704389,557.404141009,15609.6512883,-3559.65586289,2650.46173256,-1663.84348497,business_cat,691.610822424,1232.01013678,-4808.47892168,-862.466432439,2898.76119354,-2789.5765248,1527.7398216,-3538.68551257
1563.45901006,-13827.0869822,1095.56952202,-1836.67936869,-5073.65488559,-889.407320132,-8451.43353395,1671.06588781,1226.87429147,6331.3809257,4078.30350542,3166.93203178,evil_toddler,-2504.69619684,-4707.84340441,-4981.5236998,-1562.98691359,-5404.88019387,1157.5950633,-1275.50695883,-5317.3009197
34259.1533416,1913.47018062,-7139.95897114,6201.94999589,7998.12881628,3276.70061961,-3842.49204623,-1082.92340458,1814.18537831,2957.1920672,-1905.76407,3843.9954879,unpopular_opinion_puffin,-2718.29678216,3544.14289067,6728.57274154,1027.30742901,3169.09554424,474.721998995,399.681231767,-3554.81840458
-18719.8930248,-10941.9318052,-7557.08778613,16256.3894918,1905.86364264,-2151.61049878,8324.74522345,-9523.77021759,2408.86592944,11.4810905951,-1855.31024862,3656.36149681,advice_god,-3408.20186388,-395.448635935,938.532725432,-471.608841891,-1728.03961004,-910.61851792,-1037.67115466,114.705079058
-10176.8332845,-4936.92918271,-561.881961278,3186.85678634,-9724.38388115,-4681.38402846,-7291.74035894,-1329.72850165,-3709.75271458,-1741.56279059,9132.96631072,8230.47545777,religion_pigeon,16421.3691846,5079.40239673,-1124.28401512,12360.2912759,1157.08622779,-3869.25847214,-3083.21428482,2288.41393625
