a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t,u
18518.5896717,-11835.4366791,4723.18262955,-4932.4355541,-6882.06190799,-1331.57562776,-6313.58518053,-5163.26200829,1571.8970903,17303.9834609,-6506.23269454,-205.71524728,lazy_college_senior,1577.82225444,-5702.98333486,-2738.02189888,-2531.29541845,4393.05952069,-4298.82814466,3769.35394631,-5391.69429853,605.663669177
-18868.3749039,-11299.816944,-8299.2661263,16687.2183847,2012.21668279,-3037.1036369,8609.35252736,-8688.37971872,1734.92719858,371.133423967,-977.026784479,2980.77530107,advice_god,-654.815245132,-1593.7601462,490.102655561,-740.190507843,566.217843354,-645.388222938,1096.21984418,-520.78399338,-709.512116572
-2912.53525953,11726.6153608,167.667901504,-4225.93471676,-2493.00817051,441.79910478,475.240841708,-2264.82041828,190.347951406,-6741.30522878,-9001.15031998,-4185.26864883,confession_bear,1530.64757062,-7211.25180268,2448.28788755,6165.81305331,-264.316872705,1529.91480106,-379.06792699,-3475.89081063,-422.961088768
2260.4952385,-12406.4299042,1215.99368887,-2375.41918052,-5466.59066848,-1597.33717694,-6585.83193698,824.674069668,1093.49898218,4974.68570425,3783.54054026,3268.63031238,evil_toddler,-1923.34739009,-4130.49407744,-3408.64868434,-934.074879329,-3726.58176402,953.277027096,-1819.61685084,4021.64105841,101.138056472
-15045.0096096,-2057.70718796,-4784.01029648,-4020.32142768,10315.4475732,4289.18729466,4218.2913047,6768.86516202,-2558.59489572,9140.05554004,746.978796405,-4945.26062647,college_liberal,4098.83798473,-161.118829388,2377.43784112,997.686869586,-2853.49339716,-1232.17912592,-190.504905805,27.813913172,2719.3661972
-2873.6931663,11147.467801,-8166.1139367,63.4040003929,-5505.68091251,17101.2464886,941.398121266,556.985846161,15609.6811204,-3543.19330144,2568.58268518,-1819.94689448,business_cat,716.828480785,1282.65263948,-4768.49211817,-856.699909852,3006.60980889,-3481.00781644,2129.02052627,1981.47752058,2431.99844421
1563.45730307,-13827.1593705,1095.32795129,-1838.84662857,-5074.34906032,-885.670387174,-8451.47997334,1679.61752736,1218.01737311,6346.89716783,4374.34048139,2653.13102273,evil_toddler,-2477.53518101,-4683.91747513,-4897.95465434,-1442.12810876,-5028.94072465,156.14460139,-1395.76260191,4923.9529558,-1175.03516646
34259.142586,1913.36073293,-7140.81158195,6198.63872802,7994.31519448,3283.98582617,-3854.99747426,-1078.32578128,1821.29618401,3001.67090628,-1521.05358579,3630.92433693,unpopular_opinion_puffin,-2786.40181526,3625.84117358,6910.29853493,1124.30590309,3546.86233208,-1446.26319307,481.117259097,501.677342551,4686.53768612
-18719.8952003,-10941.9540473,-7557.15965394,16256.5345949,1904.80617841,-2151.52357789,8327.58720742,-9524.73170542,2413.4207707,18.675345623,-1642.48493547,3730.48134718,advice_god,-3438.1008611,-401.908202869,909.831073311,-409.075169944,-1892.00620596,-627.908877474,-624.0407645,89.4556164555,-3259.02938992
-10176.8317182,-4936.91296258,-561.726082595,3186.31001163,-9723.67080363,-4681.61659734,-7293.04625325,-1331.4769506,-3706.7198305,-1744.8516031,9485.61114895,7962.75899156,religion_pigeon,16375.0190201,5030.68244608,-1153.0506055,12306.8897056,768.016564744,-4279.14829391,-2072.51403429,-3849.63801042,-1049.6413403
