a,b,c,d,e,f,label
18518.4320137,-11835.0254507,4706.65522936,-4879.45332611,-6740.18365332,-1788.89906864,lazy_college_senior
-18868.3813162,-11299.8165976,-8299.27290101,16686.7687336,2004.63754749,-3049.17406811,advice_god
-2912.58785231,11728.0034545,156.616321951,-4180.73056592,-2394.11124221,160.301249433,confession_bear
2260.52041401,-12405.9785547,1215.05906945,-2383.35102283,-5464.81956535,-1619.90241427,evil_toddler
-15045.0217775,-2058.65523444,-4782.77614418,-4039.06147363,10312.1435265,4307.32916601,college_liberal
-2873.71566926,11148.5448842,-8173.11930789,97.3188058701,-5371.58469016,16972.8908638,business_cat
1563.45392482,-13827.4058167,1096.82530936,-1844.12400223,-5040.21417503,-939.540510702,evil_toddler
34259.3077496,1915.3715243,-7142.07853964,6200.62898837,7972.76359931,3398.86012041,unpopular_opinion_puffin
-18719.892979,-10942.4502084,-7552.96761105,16240.8749446,1879.66821279,-2079.74176944,advice_god
-10176.8937212,-4939.66646053,-558.402804995,3138.22385651,-9806.0651688,-4555.56117703,religion_pigeon
-17078.9455443,-8717.29323781,-1060.23889167,-522.955317453,1596.80608902,1640.73495955,minor_mistake_marvin
17094.2310997,5288.55135406,-7565.62593564,2421.67928425,-3332.68875412,-1494.50096105,good_guy_greg
30393.2582847,-3799.53668964,-2210.01567134,4539.38374211,9875.76456109,2070.41815012,bad_joke_eel
586.50732149,13321.7983913,-5676.87213017,-3539.19029312,-5383.57156865,1598.72623473,good_guy_greg
6412.51914687,20459.9289353,3230.02288376,-54.8427900775,-7984.54539565,313.149550324,high_expectations_asian_father
-1957.33836423,11865.6609626,10.8498804037,-2049.77039061,-3686.07073994,5219.38626907,philosoraptor
-8378.68304663,4109.38382349,1964.34948597,-4896.64636411,-1583.69523998,-755.01612609,confession_bear
-2197.9395299,11403.4148495,-8169.82864672,207.412738983,-5387.24120901,17245.0525783,business_cat
93.1216963487,-14165.866157,1849.95044939,-2577.18986757,-5135.02002048,-1148.49308669,evil_toddler
11028.4956872,-17154.6254703,4813.0111937,-2259.27244052,-5826.02806059,-1048.62437978,lazy_college_senior
-2479.1496934,1965.68086441,-1824.51455339,-1704.77525365,-4086.17649534,-503.862465641,overly_attached_girlfriend
-3011.82320461,11150.7982502,-8224.92168582,1674.46458885,-5281.70075769,16238.848421,business_cat
-20148.0575395,-15055.2251669,2989.90530134,-3276.35074814,-115.981820025,2912.93789664,first_day_on_the_internet_kid
11680.5413934,-16777.412267,4015.28613292,-4155.96941898,-4572.9617604,-627.203933938,lazy_college_senior
18487.0841603,-13767.4810918,6772.22895394,-8944.72988253,-6702.24706586,-760.079892826,sudden_clarity_clarence
-2221.71164135,11571.3548946,31911.807087,14773.2443152,1381.10294687,-1306.48401186,socially_awkward_penguin
-14259.6790201,-4962.91431141,-143.732034593,-7612.91008835,5215.23785134,-4679.38703632,sheltered_college_freshman
-3057.78146772,12062.2979303,4813.95530306,-8590.85814124,9178.52659258,-7890.90434716,bad_luck_brian
15824.4081361,641.427019787,-14622.6178565,6716.07149193,-7023.5679416,-16244.8347107,paranoid_parrot
-4216.93185546,7286.90377671,28540.6812126,13303.1144806,1654.11101489,-1114.74836694,socially_awkward_penguin
-13719.5266879,-6034.64053693,-49.3959894148,67.7015292381,-2114.29614068,-3125.76901454,overly_attached_girlfriend
-8442.90442964,-11509.4372666,5143.97846144,-7714.02189811,-6397.18638742,-1091.83537983,minor_mistake_marvin
-494.492934517,-6673.12664136,-3055.21619787,3223.70574233,-4032.75654468,180.553313535,evil_toddler
-4479.55798712,8594.69174553,-7059.94738032,1567.7958696,-5447.10734574,15029.9074496,business_cat
-11335.5101701,1739.95272853,-3351.40003162,-9392.28034593,9258.62237322,-9652.07051365,sheltered_college_freshman
2031.3020808,20804.7136292,-122.426600257,-716.324604862,42.3430758872,-839.072513818,high_expectations_asian_father
-3794.03075583,11732.2761689,248.450930501,-2759.84025892,-2543.16935881,-168.06515368,confession_bear
-14949.0839855,-1188.23380059,-5243.5383206,-4005.21455179,10796.0237774,4760.86836137,college_liberal
-11302.1499591,1561.00688928,-3463.39946263,-9628.94246871,9603.628671,-9746.92621923,sheltered_college_freshman
-11397.692508,1544.92231775,-3207.59056987,-9076.03565737,9402.43888757,-9395.34935225,sheltered_college_freshman
-4203.30282483,6239.4822312,28867.9693287,12760.2561342,1793.80004699,237.824480754,socially_awkward_penguin
15214.9207182,1153.13377879,-12862.1740252,6825.55953868,-8394.78389174,-17412.5783461,paranoid_parrot
32887.8368537,-5448.1433796,-1921.59530292,3581.94214241,7375.58144709,1147.3956019,bad_joke_eel
-20387.702848,-15868.3516253,2935.03352992,-2900.76684859,-216.862276516,3308.84259765,first_day_on_the_internet_kid
31210.7747314,-4485.9888145,-2955.42208014,3738.47114901,9174.94769807,863.977986296,bad_joke_eel
1365.89019874,14084.1934383,7656.83375647,-6821.27472293,4718.92652678,-8817.41353127,bad_luck_brian
10583.1119054,24979.4444341,-851.714924136,797.636577966,-7724.5922667,1156.34140043,high_expectations_asian_father
-2383.7362374,15443.5627821,2570.25294161,-8013.39481064,12913.6190943,-9044.80903349,bad_luck_brian
-14677.4803064,-1702.22776916,-5043.4234312,-4463.52813303,11108.9783114,4506.46267124,college_liberal
2500.07441018,18629.46806,2746.04125203,-1661.67933068,-4828.32348434,-228.837709588,high_expectations_asian_father
-18472.7763062,-14820.212757,980.123236411,1128.51668116,-117.465056023,3253.35404038,overly_attached_girlfriend
-19263.306413,-11494.3676978,-7407.27370791,16009.0884151,1002.01312014,-2766.50717059,advice_god
-2778.62623768,11559.2399485,-37.8576607416,-1419.20031796,-3404.93615741,6296.73847251,philosoraptor
-2145.15430524,10731.9258344,1393.5668421,-3207.71962586,-4530.5057969,77.4293406002,confession_bear
-18118.7434278,-11245.93089,-287.552958225,-1390.33970795,537.290670869,2805.33362197,minor_mistake_marvin
-899.509986101,10636.7258123,-194.847115529,-572.149372223,-3594.97780507,4766.63211508,philosoraptor
7958.31893635,21342.3659039,2842.06729601,926.517389657,-7343.1546111,234.876312152,high_expectations_asian_father
32787.3600848,-2319.40371948,-4698.24836491,6800.90936148,9986.62154767,5810.86673176,unpopular_opinion_puffin
21062.7994493,-9830.44653988,2343.7652562,117.920736434,-2547.17438313,-958.049731517,unpopular_opinion_puffin
-11783.4685162,725.22794825,-2657.66660529,-9395.07324392,8462.86839462,-8366.09830952,sheltered_college_freshman
225.530107596,12736.2948648,-6230.30213923,-967.596441018,-4601.35677094,2134.51665712,good_guy_greg
-14638.6220329,-1364.83841269,-5261.09049374,-3697.90739384,11104.112126,4243.19790355,college_liberal
-14815.5292879,-2291.14817165,-4906.67884926,-4894.40512714,10825.0688794,4824.01322277,college_liberal
24904.9834044,-3683.69727862,-3937.18560434,4682.95284586,11789.1299568,9109.79394196,unpopular_opinion_puffin
-14686.084856,-767.266769699,-5224.26831666,-3964.73392884,11218.138825,4574.43900323,college_liberal
-19418.7361485,-11746.6285185,-8382.47859607,17505.1681146,1276.57061202,-2846.20395143,advice_god
-2318.52074493,12234.9285318,13.1814510295,-1886.33814556,-3785.72204465,1153.72807615,confession_bear
-17707.8160866,-8903.05151273,-7832.73722976,15590.6846266,2459.0360884,-3078.54728804,advice_god
16908.8739639,-13122.5274405,5434.41723228,-5288.29447491,-8251.02838751,-3829.37000421,lazy_college_senior
-5754.16908934,6784.77573298,29197.4718342,12850.3918189,498.423976871,-1421.41894957,socially_awkward_penguin
-2817.17078058,7157.30958954,3055.7348927,-5602.31196712,-4337.11395672,-257.400009982,confession_bear
33722.4847577,-6379.52190984,-161.493470662,3610.86628237,4724.17952296,-1786.624632,bad_joke_eel
-2998.04236625,14460.609225,3132.30715524,-8805.78018763,10774.0222552,-9207.74014661,bad_luck_brian
-3536.51097145,7524.90272362,-6448.46482669,828.614041132,-5644.85611203,12845.4368485,business_cat
-15185.2478821,-3921.13849428,-3259.7379366,-5065.25322434,9617.76051956,3301.69928085,college_liberal
2432.6665332,-13640.0821344,1710.92654198,-1917.88391102,-6287.54687616,316.883844842,evil_toddler
-1131.78103652,16309.8817878,3793.9499261,-7737.39021347,10659.3052648,-9164.05684768,bad_luck_brian
5629.12317171,20144.0398341,2980.95588813,712.177949746,-5762.43233875,-491.73382389,high_expectations_asian_father
-19047.374818,-13626.9959718,827.508534368,-2165.33736139,-2269.82909899,5191.70571994,minor_mistake_marvin
4558.69123102,-11061.8809001,3427.4409798,-5306.32781936,-6711.3044406,-1750.71851237,evil_toddler
-3193.13555482,10031.3339652,743.447270166,-2265.60564265,-3262.77961054,6922.30596868,philosoraptor
-17810.6499667,-11982.1715549,2790.58868101,-4285.57284744,-1209.2871543,1600.04030266,first_day_on_the_internet_kid
21497.9399184,-18928.5692322,9443.33282963,-12066.4947321,-6411.01880975,-458.586995363,sudden_clarity_clarence
-3365.35947851,12065.5777598,-501.136502172,-2889.42369674,-2396.48657382,-283.858906977,confession_bear
29434.8969949,-1967.97861334,-5652.55628437,6147.34949316,8639.57678377,6921.68204699,unpopular_opinion_puffin
34628.6505528,-6600.38453887,-1665.58568361,7229.42538439,6590.19240678,481.702397151,bad_joke_eel
31755.9640624,-5884.11639113,-2536.00407842,3954.9284496,9925.81357272,1505.96960234,bad_joke_eel
-3592.14721946,15220.1474262,3452.8339982,-9030.99948555,10465.2508385,-7367.25298805,bad_luck_brian
-19285.5132175,-11870.4797802,-7693.78733265,17028.7013497,1484.11934312,-2608.82824937,advice_god
26381.1029824,-15126.9980731,2840.21099729,-1286.45641883,-6303.52292877,-29.883757269,sudden_clarity_clarence
-3316.66199133,13353.7777119,4269.49807177,-10401.9372008,10697.1035963,-9364.95164879,bad_luck_brian
-3625.84069751,15107.0243309,2316.07040284,-7018.43957973,11656.1558731,-6795.23095791,bad_luck_brian
-18180.3953384,-12710.2080351,3070.75116626,-4536.07902512,-1888.02774764,2502.79013606,first_day_on_the_internet_kid
14212.5427064,-12238.8555008,3895.85857819,-2689.63070685,-7050.30958245,229.556944985,lazy_college_senior
