a,b,c,d,e,f,g,h,i,label
18518.4578419,-11835.7086927,4726.92889753,-4914.16560024,-6862.58909381,-1270.87798782,-6299.59416758,-5166.48156106,1187.81388341,lazy_college_senior
-18868.3950442,-11299.896738,-8298.83719781,16688.9745872,2015.49299977,-3030.77601415,8620.92642692,-8686.90297025,1705.30881498,advice_god
-2912.46400442,11726.4345153,165.630160242,-4235.93459663,-2511.95177063,428.60994505,459.811461956,-2320.12919553,391.489997037,confession_bear
2260.59369541,-12406.7473594,1214.45797087,-2379.64257476,-5499.7034794,-1606.54355846,-6569.14861508,811.82505818,1278.5335321,evil_toddler
-15044.973403,-2057.72574989,-4784.58347794,-4022.21247393,10304.0846936,4280.54678087,4203.67057092,6773.72983105,-2561.9537149,college_liberal
-2873.72451166,11147.5615004,-8163.92061067,75.918860019,-5502.65171206,17113.7448344,978.444833263,603.022721905,15592.3239557,business_cat
1563.57394113,-13827.0570323,1095.22507378,-1841.88506241,-5112.42994647,-899.388240424,-8454.89128914,1697.81141978,1419.93866174,evil_toddler
34259.1769624,1913.50414993,-7135.4729203,6218.74079018,7981.29595694,3270.12964853,-3796.91797847,-997.38097351,1831.40856006,unpopular_opinion_puffin
-18719.8745522,-10941.7245236,-7557.64304547,16249.4953085,1910.84789226,-2164.69009198,8314.90008662,-9529.47100192,2443.24605549,advice_god
-10176.7940957,-4936.28547415,-562.307510167,3168.8293236,-9707.9191182,-4721.11961077,-7365.80910918,-1364.55269611,-3704.51207894,religion_pigeon
-17078.9114395,-8718.1996584,-1066.27722391,-563.398178064,1510.14282037,1835.43409106,-1704.0514521,3539.63775127,-2451.22780483,minor_mistake_marvin
17094.3274883,5292.19877762,-7575.8714863,2432.99140118,-3307.30895743,-1551.54247463,-6959.9746411,1866.7877301,1703.89565639,good_guy_greg
30393.313974,-3799.49069797,-2209.24464316,4510.39969256,9853.48125974,2283.76140107,-1150.82068719,-3270.07520888,-4958.4140422,bad_joke_eel
586.404161548,13322.9351237,-5688.68434951,-3500.22852538,-5254.79688055,1330.81481095,1143.77729142,-1603.08554143,134.115319386,good_guy_greg
6412.53454623,20459.9691086,3228.94472175,-58.9217301444,-8025.41743565,237.093678326,3166.99466072,-7440.25673998,-8842.03436037,high_expectations_asian_father
-1957.39398481,11864.4081561,22.7771349268,-2056.26213176,-3660.53987647,5234.36245173,4554.3951981,597.050670271,-6178.28571487,philosoraptor
-8378.54588551,4107.96316116,1964.71153706,-4928.56418199,-1634.87153682,-747.712463649,-1987.22470865,22.8696691519,1099.04400088,confession_bear
-2197.89734423,11403.5267367,-8163.97348414,197.793132056,-5472.9212119,17319.7714218,1348.92496129,1095.88858014,15983.0512441,business_cat
93.2277130663,-14165.961387,1853.62754646,-2570.42309679,-5199.21954883,-1040.14169071,-6633.46393319,1865.62700308,855.881291153,evil_toddler
11028.5131911,-17157.2186832,4819.59054603,-2296.80500387,-5876.45692739,-838.35307955,-8078.40206745,-1566.57547056,5237.49636452,lazy_college_senior
-2479.38584031,1965.10343471,-1832.12856526,-1738.98814926,-3973.89203793,-661.56202242,-2260.35996146,-869.322174127,-1211.36229469,overly_attached_girlfriend
-3011.84231688,11149.6195954,-8215.52422872,1655.56462441,-5366.40408428,16328.5816763,-621.054037019,1466.72458945,13380.8317921,business_cat
-20148.2320023,-15056.8159689,2991.38891229,-3273.7409276,-14.4803140336,2770.78501804,-3348.70212352,1597.20732872,-2498.08901014,first_day_on_the_internet_kid
11680.6448675,-16776.6702098,4033.4503979,-4187.14847058,-4730.605322,-26.3757829607,-9600.77246065,-2052.91695881,1096.49536024,lazy_college_senior
18486.9322196,-13770.3237733,6782.78310456,-8952.7900876,-6671.71744036,-815.968232249,6769.87265388,-3304.85092624,4233.39220981,sudden_clarity_clarence
-2221.70305298,11573.0300148,31906.3724662,14797.7598579,1406.27349065,-1347.42168021,-2513.39720318,6227.38188208,4430.61426215,socially_awkward_penguin
-14259.6773284,-4965.1393232,-135.215628438,-7624.89216252,5200.94910501,-4565.88082619,-1448.58918862,-376.527838013,26.6292033937,sheltered_college_freshman
-3057.82322607,12062.4178275,4809.01171176,-8593.53853353,9253.90070638,-7895.78251678,2973.21471774,701.879273833,3743.87116137,bad_luck_brian
15824.4240728,642.510953753,-14622.5484529,6726.15671245,-7002.33959481,-16231.8433081,2575.4125077,16320.681478,434.323053899,paranoid_parrot
-4216.94864749,7286.68969063,28540.07682,13312.7172264,1641.8205984,-1109.25990958,-1154.96660454,4851.56873467,2465.94331332,socially_awkward_penguin
-13719.7084505,-6037.13817894,-53.9534065622,15.107715111,-2088.48199892,-3227.63681907,-2731.53649392,-386.305717289,395.428601294,overly_attached_girlfriend
-8442.80638387,-11508.4716272,5140.49605325,-7710.98417943,-6440.27016091,-1049.89679315,-2591.99268701,5948.38307118,-4871.73768016,minor_mistake_marvin
-494.388455325,-6671.83075171,-3063.83335602,3218.64641324,-4030.51040813,115.304597398,-5105.41755955,1973.942032,881.831300521,evil_toddler
-4479.51056596,8593.79048385,-7047.70397098,1557.48194118,-5551.87160272,15147.9558171,-2350.70785179,1860.19061772,11736.0437135,business_cat
-11335.5186023,1739.46181613,-3347.77442247,-9381.3607014,9282.21107569,-9580.38097756,-7280.68768564,-8332.27959426,4810.82669057,sheltered_college_freshman
2031.41467694,20805.7226747,-129.758623917,-730.101396224,38.7943210135,-926.194892098,2024.5785625,-6173.30601357,-5365.42523154,high_expectations_asian_father
-3793.83043032,11730.7692931,264.770329425,-2822.2927861,-2733.41923627,188.233780626,-2706.32184859,-1249.20546456,-2095.37843311,confession_bear
